name,type,year,url,gender,organization,age,country,current_country,description
Robert J. Shiller,economics,2013,https://www.nobelprize.org/nobel_prizes/economics/laureates/2013/shiller-facts.html,male,FALSE,67,USA,USA,for their empirical analysis of asset prices
Alice Munro,literature,2013,https://www.nobelprize.org/nobel_prizes/literature/laureates/2013/munro-facts.html,female,FALSE,82,Canada,Canada,master of the contemporary short story
Serge Haroche,physics,2012,https://www.nobelprize.org/nobel_prizes/physics/laureates/2012/haroche-facts.html,male,FALSE,68,Morocco,Morocco,for ground-breaking experimental methods that enable measuring and manipulation of individual quantum systems
David J. Wineland,physics,2012,https://www.nobelprize.org/nobel_prizes/physics/laureates/2012/wineland-facts.html,male,FALSE,68,USA,USA,for ground-breaking experimental methods that enable measuring and manipulation of individual quantum systems
European Union (EU),peace,2012,https://www.nobelprize.org/nobel_prizes/peace/laureates/2012/eu-facts.html,org,TRUE,,,,"for over six decades contributed to the advancement of peace and reconciliation, democracy and human rights in Europe"
Robert J. Lefkowitz,chemistry,2012,https://www.nobelprize.org/nobel_prizes/chemistry/laureates/2012/lefkowitz-facts.html,male,FALSE,69,USA,USA,for studies of G-protein-coupled receptors
Brian K. Kobilka,chemistry,2012,https://www.nobelprize.org/nobel_prizes/chemistry/laureates/2012/kobilka-facts.html,male,FALSE,57,USA,USA,for studies of G-protein-coupled receptors
Sir John B. Gurdon,medicine,2012,https://www.nobelprize.org/nobel_prizes/medicine/laureates/2012/gurdon-facts.html,male,FALSE,79,United Kingdom,United Kingdom,for the discovery that mature cells can be reprogrammed to become pluripotent
Shinya Yamanaka,medicine,2012,https://www.nobelprize.org/nobel_prizes/medicine/laureates/2012/yamanaka-facts.html,male,FALSE,50,Japan,Japan,for the discovery that mature cells can be reprogrammed to become pluripotent
Alvin E. Roth,economics,2012,https://www.nobelprize.org/nobel_prizes/economics/laureates/2012/roth-facts.html,male,FALSE,61,USA,USA,for the theory of stable allocations and the practice of market design
Lloyd S. Shapley,economics,2012,https://www.nobelprize.org/nobel_prizes/economics/laureates/2012/shapley-facts.html,male,FALSE,89,USA,USA,for the theory of stable allocations and the practice of market design
Mo Yan,literature,2012,https://www.nobelprize.org/nobel_prizes/literature/laureates/2012/yan-facts.html,male,FALSE,57,China,China,"who with hallucinatory realism merges folk tales, history and the contemporary"
Tomas Transtromer,literature,2011,https://www.nobelprize.org/nobel_prizes/literature/laureates/2011/transtromer-facts.html,male,FALSE,80,Sweden,Sweden,"because, through his condensed, translucent images, he gives us fresh access to reality"
Dan Shechtman,chemistry,2011,https://www.nobelprize.org/nobel_prizes/chemistry/laureates/2011/shechtman-facts.html,male,FALSE,70,British Mandate of Palestine,Israel,for the discovery of quasicrystals
Saul Perlmutter,physics,2011,https://www.nobelprize.org/nobel_prizes/physics/laureates/2011/perlmutter-facts.html,male,FALSE,52,USA,USA,for the discovery of the accelerating expansion of the Universe through observations of distant supernovae
Brian P. Schmidt,physics,2011,https://www.nobelprize.org/nobel_prizes/physics/laureates/2011/schmidt-facts.html,male,FALSE,44,USA,USA,for the discovery of the accelerating expansion of the Universe through observations of distant supernovae
Adam G. Riess,physics,2011,https://www.nobelprize.org/nobel_prizes/physics/laureates/2011/riess-facts.html,male,FALSE,42,USA,USA,for the discovery of the accelerating expansion of the Universe through observations of distant supernovae
Bruce A. Beutler,medicine,2011,https://www.nobelprize.org/nobel_prizes/medicine/laureates/2011/beutler-facts.html,male,FALSE,54,USA,USA,for their discoveries concerning the activation of innate immunity
Jules A. Hoffmann,medicine,2011,https://www.nobelprize.org/nobel_prizes/medicine/laureates/2011/hoffmann-facts.html,male,FALSE,70,Luxembourg,Luxembourg,for their discoveries concerning the activation of innate immunity
Ralph M. Steinman,medicine,2011,https://www.nobelprize.org/nobel_prizes/medicine/laureates/2011/steinman-facts.html,male,FALSE,68,Canada,Canada,for his discovery of the dendritic cell and its role in adaptive immunity
Thomas J. Sargent,economics,2011,https://www.nobelprize.org/nobel_prizes/economics/laureates/2011/sargent-facts.html,male,FALSE,68,USA,USA,for their empirical research on cause and effect in the macroeconomy
Christopher A. Sims,economics,2011,https://www.nobelprize.org/nobel_prizes/economics/laureates/2011/sims-facts.html,male,FALSE,69,USA,USA,for their empirical research on cause and effect in the macroeconomy
Ellen Johnson Sirleaf,peace,2011,https://www.nobelprize.org/nobel_prizes/peace/laureates/2011/johnson_sirleaf-facts.html,female,FALSE,73,Liberia,Liberia,for their non-violent struggle for the safety of women and for women's rights to full participation in peace-building work
Leymah Gbowee,peace,2011,https://www.nobelprize.org/nobel_prizes/peace/laureates/2011/gbowee-facts.html,female,FALSE,39,Liberia,Liberia,for their non-violent struggle for the safety of women and for women's rights to full participation in peace-building work
Tawakkol Karman,peace,2011,https://www.nobelprize.org/nobel_prizes/peace/laureates/2011/karman-facts.html,female,FALSE,32,Yemen,Yemen,for their non-violent struggle for the safety of women and for women's rights to full participation in peace-building work
Andre Geim,physics,2010,https://www.nobelprize.org/nobel_prizes/physics/laureates/2010/geim-facts.html,male,FALSE,52,Russia,Russia,for groundbreaking experiments regarding the two-dimensional material graphene
Konstantin Novoselov,physics,2010,https://www.nobelprize.org/nobel_prizes/physics/laureates/2010/novoselov-facts.html,male,FALSE,36,Russia,Russia,for groundbreaking experiments regarding the two-dimensional material graphene
Mario Vargas Llosa,literature,2010,https://www.nobelprize.org/nobel_prizes/literature/laureates/2010/vargas_llosa-facts.html,male,FALSE,74,Peru,Peru,"for his cartography of structures of power and his trenchant images of the individual's resistance, revolt, and defeat"
Liu Xiaobo,peace,2010,https://www.nobelprize.org/nobel_prizes/peace/laureates/2010/xiaobo-facts.html,male,FALSE,55,China,China,for his long and non-violent struggle for fundamental human rights in China
Richard F. Heck,chemistry,2010,https://www.nobelprize.org/nobel_prizes/chemistry/laureates/2010/heck-facts.html,male,FALSE,79,USA,USA,for palladium-catalyzed cross couplings in organic synthesis
Ei-ichi Negishi,chemistry,2010,https://www.nobelprize.org/nobel_prizes/chemistry/laureates/2010/negishi-facts.html,male,FALSE,75,China,China,for palladium-catalyzed cross couplings in organic synthesis
Akira Suzuki,chemistry,2010,https://www.nobelprize.org/nobel_prizes/chemistry/laureates/2010/suzuki-facts.html,male,FALSE,80,Japan,Japan,for palladium-catalyzed cross couplings in organic synthesis
Robert G. Edwards,medicine,2010,https://www.nobelprize.org/nobel_prizes/medicine/laureates/2010/edwards-facts.html,male,FALSE,85,United Kingdom,United Kingdom,for the development of in vitro fertilization
Peter A. Diamond,economics,2010,https://www.nobelprize.org/nobel_prizes/economics/laureates/2010/diamond-facts.html,male,FALSE,70,USA,USA,for their analysis of markets with search frictions
Dale T. Mortensen,economics,2010,https://www.nobelprize.org/nobel_prizes/economics/laureates/2010/mortensen-facts.html,male,FALSE,71,USA,USA,for their analysis of markets with search frictions
Christopher A. Pissarides,economics,2010,https://www.nobelprize.org/nobel_prizes/economics/laureates/2010/pissarides-facts.html,male,FALSE,62,Cyprus,Cyprus,for their analysis of markets with search frictions
Charles Kuen Kao,physics,2009,https://www.nobelprize.org/nobel_prizes/physics/laureates/2009/kao-facts.html,male,FALSE,76,China,China,for groundbreaking achievements concerning the transmission of light in fibers for optical communication
Willard S. Boyle,physics,2009,https://www.nobelprize.org/nobel_prizes/physics/laureates/2009/boyle-facts.html,male,FALSE,85,Canada,Canada,for the invention of an imaging semiconductor circuit - the CCD sensor
George E. Smith,physics,2009,https://www.nobelprize.org/nobel_prizes/physics/laureates/2009/smith-facts.html,male,FALSE,79,USA,USA,for the invention of an imaging semiconductor circuit - the CCD sensor
Elinor Ostrom,economics,2009,https://www.nobelprize.org/nobel_prizes/economics/laureates/2009/ostrom-facts.html,female,FALSE,76,USA,USA,"for her analysis of economic governance, especially the commons"
Oliver E. Williamson,economics,2009,https://www.nobelprize.org/nobel_prizes/economics/laureates/2009/williamson-facts.html,male,FALSE,77,USA,USA,"for his analysis of economic governance, especially the boundaries of the firm"
Barack H. Obama,peace,2009,https://www.nobelprize.org/nobel_prizes/peace/laureates/2009/obama-facts.html,male,FALSE,48,USA,USA,for his extraordinary efforts to strengthen international diplomacy and cooperation between peoples
Venkatraman Ramakrishnan,chemistry,2009,https://www.nobelprize.org/nobel_prizes/chemistry/laureates/2009/ramakrishnan-facts.html,male,FALSE,57,India,India,for studies of the structure and function of the ribosome
Thomas A. Steitz,chemistry,2009,https://www.nobelprize.org/nobel_prizes/chemistry/laureates/2009/steitz-facts.html,male,FALSE,69,USA,USA,for studies of the structure and function of the ribosome
Ada E. Yonath,chemistry,2009,https://www.nobelprize.org/nobel_prizes/chemistry/laureates/2009/yonath-facts.html,female,FALSE,70,British Mandate of Palestine,Israel,for studies of the structure and function of the ribosome
Elizabeth H. Blackburn,medicine,2009,https://www.nobelprize.org/nobel_prizes/medicine/laureates/2009/blackburn-facts.html,female,FALSE,61,Australia,Australia,for the discovery of how chromosomes are protected by telomeres and the enzyme telomerase
Carol W. Greider,medicine,2009,https://www.nobelprize.org/nobel_prizes/medicine/laureates/2009/greider-facts.html,female,FALSE,48,USA,USA,for the discovery of how chromosomes are protected by telomeres and the enzyme telomerase
Jack W. Szostak,medicine,2009,https://www.nobelprize.org/nobel_prizes/medicine/laureates/2009/szostak-facts.html,male,FALSE,57,United Kingdom,United Kingdom,for the discovery of how chromosomes are protected by telomeres and the enzyme telomerase
Herta Moller,literature,2009,https://www.nobelprize.org/nobel_prizes/literature/laureates/2009/muller-facts.html,female,FALSE,56,Romania,Romania,"who, with the concentration of poetry and the frankness of prose, depicts the landscape of the dispossessed"
Jean-Marie Gustave Le Clezio,literature,2008,https://www.nobelprize.org/nobel_prizes/literature/laureates/2008/clezio-facts.html,male,FALSE,68,France,France,"author of new departures, poetic adventure and sensual ecstasy, explorer of a humanity beyond and below the reigning civilization"
Paul Krugman,economics,2008,https://www.nobelprize.org/nobel_prizes/economics/laureates/2008/krugman-facts.html,male,FALSE,55,USA,USA,for his analysis of trade patterns and location of economic activity
Harald zur Hausen,medicine,2008,https://www.nobelprize.org/nobel_prizes/medicine/laureates/2008/hausen-facts.html,male,FALSE,72,Germany,Germany,for his discovery of human papilloma viruses causing cervical cancer
Francoise Barre-Sinoussi,medicine,2008,https://www.nobelprize.org/nobel_prizes/medicine/laureates/2008/barre-sinoussi-facts.html,female,FALSE,61,France,France,for their discovery of human immunodeficiency virus
Luc Montagnier,medicine,2008,https://www.nobelprize.org/nobel_prizes/medicine/laureates/2008/montagnier-facts.html,male,FALSE,76,France,France,for their discovery of human immunodeficiency virus
Martti Ahtisaari,peace,2008,https://www.nobelprize.org/nobel_prizes/peace/laureates/2008/ahtisaari-facts.html,male,FALSE,71,Finland,Finland,"for his important efforts, on several continents and over more than three decades, to resolve international conflicts"
Osamu Shimomura,chemistry,2008,https://www.nobelprize.org/nobel_prizes/chemistry/laureates/2008/shimomura-facts.html,male,FALSE,80,Japan,Japan,"for the discovery and development of the green fluorescent protein, GFP"
Martin Chalfie,chemistry,2008,https://www.nobelprize.org/nobel_prizes/chemistry/laureates/2008/chalfie-facts.html,male,FALSE,61,USA,USA,"for the discovery and development of the green fluorescent protein, GFP"
Roger Y. Tsien,chemistry,2008,https://www.nobelprize.org/nobel_prizes/chemistry/laureates/2008/tsien-facts.html,male,FALSE,56,USA,USA,"for the discovery and development of the green fluorescent protein, GFP"
Yoichiro Nambu,physics,2008,https://www.nobelprize.org/nobel_prizes/physics/laureates/2008/nambu-facts.html,male,FALSE,87,Japan,Japan,for the discovery of the mechanism of spontaneous broken symmetry in subatomic physics
Makoto Kobayashi,physics,2008,https://www.nobelprize.org/nobel_prizes/physics/laureates/2008/kobayashi-facts.html,male,FALSE,64,Japan,Japan,for the discovery of the origin of the broken symmetry which predicts the existence of at least three families of quarks in nature
Toshihide Maskawa,physics,2008,https://www.nobelprize.org/nobel_prizes/physics/laureates/2008/maskawa-facts.html,male,FALSE,68,Japan,Japan,for the discovery of the origin of the broken symmetry which predicts the existence of at least three families of quarks in nature
Leonid Hurwicz,economics,2007,https://www.nobelprize.org/nobel_prizes/economics/laureates/2007/hurwicz-facts.html,male,FALSE,90,Russia,Russia,for having laid the foundations of mechanism design theory
Eric S. Maskin,economics,2007,https://www.nobelprize.org/nobel_prizes/economics/laureates/2007/maskin-facts.html,male,FALSE,57,USA,USA,for having laid the foundations of mechanism design theory
Roger B. Myerson,economics,2007,https://www.nobelprize.org/nobel_prizes/economics/laureates/2007/myerson-facts.html,male,FALSE,56,USA,USA,for having laid the foundations of mechanism design theory
Gerhard Ertl,chemistry,2007,https://www.nobelprize.org/nobel_prizes/chemistry/laureates/2007/ertl-facts.html,male,FALSE,71,Germany,Germany,for his studies of chemical processes on solid surfaces
Albert Fert,physics,2007,https://www.nobelprize.org/nobel_prizes/physics/laureates/2007/fert-facts.html,male,FALSE,69,France,France,for the discovery of Giant Magnetoresistance
Peter Grunberg,physics,2007,https://www.nobelprize.org/nobel_prizes/physics/laureates/2007/grunberg-facts.html,male,FALSE,68,Czechoslovakia,Czech Republic,for the discovery of Giant Magnetoresistance
Mario R. Capecchi,medicine,2007,https://www.nobelprize.org/nobel_prizes/medicine/laureates/2007/capecchi-facts.html,male,FALSE,70,Italy,Italy,for their discoveries of principles for introducing specific gene modifications in mice by the use of embryonic stem cells
Sir Martin J. Evans,medicine,2007,https://www.nobelprize.org/nobel_prizes/medicine/laureates/2007/evans-facts.html,male,FALSE,66,United Kingdom,United Kingdom,for their discoveries of principles for introducing specific gene modifications in mice by the use of embryonic stem cells
Oliver Smithies,medicine,2007,https://www.nobelprize.org/nobel_prizes/medicine/laureates/2007/smithies-facts.html,male,FALSE,82,United Kingdom,United Kingdom,for their discoveries of principles for introducing specific gene modifications in mice by the use of embryonic stem cells
Intergovernmental Panel on Climate Change (IPCC),peace,2007,https://www.nobelprize.org/nobel_prizes/peace/laureates/2007/ipcc-facts.html,org,TRUE,,,,"for their efforts to build up and disseminate greater knowledge about man-made climate change, and to lay the foundations for the measures that are needed to counteract such change"
Albert Arnold (Al) Gore Jr.,peace,2007,https://www.nobelprize.org/nobel_prizes/peace/laureates/2007/gore-facts.html,male,FALSE,59,USA,USA,"for their efforts to build up and disseminate greater knowledge about man-made climate change, and to lay the foundations for the measures that are needed to counteract such change"
Doris Lessing,literature,2007,https://www.nobelprize.org/nobel_prizes/literature/laureates/2007/lessing-facts.html,female,FALSE,88,Persia,Iran,"that epicist of the female experience, who with scepticism, fire and visionary power has subjected a divided civilisation to scrutiny"
Edmund S. Phelps,economics,2006,https://www.nobelprize.org/nobel_prizes/economics/laureates/2006/phelps-facts.html,male,FALSE,73,USA,USA,for his analysis of intertemporal tradeoffs in macroeconomic policy
Roger D. Kornberg,chemistry,2006,https://www.nobelprize.org/nobel_prizes/chemistry/laureates/2006/kornberg-facts.html,male,FALSE,59,USA,USA,for his studies of the molecular basis of eukaryotic transcription
Andrew Z. Fire,medicine,2006,https://www.nobelprize.org/nobel_prizes/medicine/laureates/2006/fire-facts.html,male,FALSE,47,USA,USA,for their discovery of RNA interference - gene silencing by double-stranded RNA
Craig C. Mello,medicine,2006,https://www.nobelprize.org/nobel_prizes/medicine/laureates/2006/mello-facts.html,male,FALSE,46,USA,USA,for their discovery of RNA interference - gene silencing by double-stranded RNA
John C. Mather,physics,2006,https://www.nobelprize.org/nobel_prizes/physics/laureates/2006/mather-facts.html,male,FALSE,60,USA,USA,for their discovery of the blackbody form and anisotropy of the cosmic microwave background radiation
George F. Smoot,physics,2006,https://www.nobelprize.org/nobel_prizes/physics/laureates/2006/smoot-facts.html,male,FALSE,61,USA,USA,for their discovery of the blackbody form and anisotropy of the cosmic microwave background radiation
Muhammad Yunus,peace,2006,https://www.nobelprize.org/nobel_prizes/peace/laureates/2006/yunus-facts.html,male,FALSE,66,British India,Bangladesh,for their efforts to create economic and social development from below
Grameen Bank,peace,2006,https://www.nobelprize.org/nobel_prizes/peace/laureates/2006/grameen-facts.html,org,TRUE,,,,for their efforts to create economic and social development from below
